InstrumentName,DSE company name,ISIN
ABBLPBOND,AB Bank Perpetual Bond,
AIBLPBOND,AIBL Mudaraba Perpetual Bond,
AMCL(PRAN),Agricultural Marketing Company Ltd. (Pran,
APSCLBOND,APSCL Non-Convertible and Fully Redeemable Coupon Bearing Bond,
BDTHAI,Bd.Thai Aluminium Ltd.,
BIFC,Bangladesh Industrial Fin. Co. Ltd.,
BSRMSTEEL,BSRM Steels Limited,
CBLPBOND,City Bank Perpetual Bond,
DBLPBOND,Dhaka Bank Perpetual Bond,
DEBARACEM,Aramit Cement Ltd.(Deb-14%,
DEBBDLUGG,Bangladesh Luggage Ind. Ltd.(Deb-14%,
DEBBDWELD,BD Welding Electrodes Ltd.(Deb-15%,
DEBBDZIPP,Bangladesh Zipper Ind. Ltd.(Deb-14%,
DEBBXDENIM,Beximco Denims Ltd.(Deb-14%,
DEBBXFISH,Beximco Fisheries Ltd.(Deb-14%,
DEBBXKNI,Beximco Knitting Ltd.(Deb-14%,
DEBBXTEX,Beximco Textiles Ltd.(Deb-14%,
EBL1STMF,EBL First Mutual Fund,
EXIMBANK,Export Import (Exim,
FUWANGCER,Fu-Wang Ceramic Industries Ltd.,
FUWANGFOOD,Fu Wang Food Ltd.,
GRAMEENS2,Grameen One : Scheme Two,
HRTEX,H.R.Textile Ltd.,
IBBL2PBOND,IBBL 2nd Perpetual Mudaraba Bond,
IBBLPBOND,IBBL Mudaraba Perpetual Bond,
ICBEPMF1S1,ICB Employees Provident MF 1: Scheme 1,
ITC,IT Consultants PLC.,
KOHINOOR,Kohinoor Chemical Company (Bangladesh,
MAKSONSPIN,Maksons Spinning Mills PLC.,
MBPLCPBOND,Mercantile Bank Perpetual Bond,
MEGCONMILK,Meghna Condensed Milk Industries Ltd.,
MITHUNKNIT,Mithun Knitting and Dyeing Ltd.,
MTBPBOND,Mutual Trust Bank Perpetual Bond,
NAHEEACP,Nahee Aluminum Composite Panel PLC.,
PBLPBOND,Pubali Bank Perpetual Bond,
PLFSL,Peoples Leasing and Fin. Services Ltd.,
PREBPBOND,Premier Bank Perpetual Bond,
PURABIGEN,Purabi Gen. Insurance Company Ltd.,
SAFKOSPINN,Safko Spinnings Mills Ltd.,
SBACBANK,SBAC Bank PLC.,
SJIBLPBOND,SJIBL Mudaraba Perpetual Bond,
TB10Y0632,10Y BGTB 22/06/2032,
TB10Y0634,10 Years BGTB 20/06/2034,
TB15Y1026,15Y BGTB 19/10/2026,
TB15Y1226,15Y BGTB 21/12/2026,
TB20Y0430,20Y BGTB 28/04/2030,
TB20Y0432,20Y BGTB 25/04/2032,
TB2Y0227,02 Year BGTB 05/02/2027,
TB2Y0327,02 Year BGTB 05/03/2027,
TB5Y0128,5Y BGTB 11/01/2028,
TB5Y0428,5Y BGTB 12/04/2028,
TB5Y0628,5Y BGTB 14/06/2028,
TB5Y0727,5Y BGTB 13/07/2027,
TB5Y0828,5Y BGTB 09/08/2028,
TB5Y0928,5Y BGTB 13/09/2028,
TB5Y1127,5Y BGTB 16/11/2027,
TB5Y1128,5Y BGTB 15/11/2028,
TB5Y1228,5Y BGTB 13/12/2028,
UNIQUEHRL,Unique Hotel & Resorts PLC,
